branch_code,name,city,street,building_number,orientation_number,longitude,latitude
z-box-libnic-libnic-86,Z-BOX,Libníč,Libníč,86,,14.54479,49.02011
straz-nad-nezarkou-namesti-emy-destinnove-49,Z-BOX,Stráž nad Nežárkou,Náměstí Emy Destinnové,49,,14.90645,49.06964
z-box-cimer-cimer-85,Z-BOX,Číměř,Číměř,85,,15.07294,49.06076
z-box-luznice-luznice-139,Z-BOX,Lužnice,Lužnice,139,,14.75513,49.06188
z-box-lasenice-lasenice-170,Z-BOX,Lásenice,Lásenice,170,,14.96684,49.07348
z-box-slavonice-znojemska-251,Z-BOX,Slavonice,Znojemská,251,,15.35805,48.9959
z-box-plavsko-plavsko-15,Z-BOX,Plavsko,Plavsko,15,,14.90509,49.08468
z-box-novosedly-nad-nezarkou-novosedly-nad-nezarkou-186,Z-BOX,Novosedly nad Nežárkou,Novosedly nad Nežárkou,186,,14.82076,49.08194
z-box-horni-pena-horni-pena-96-u-posty,Z-BOX,Horní Pěna,Horní Pěna,96,,15.04379,49.10323
z-box-cesky-rudolec-cesky-rudolec-123-u-posty,Z-BOX,Český Rudolec,Český Rudolec,123,,15.32304,49.0676
jindrichuv-hradec-u-panelarny-882,Z-BOX,Jindřichův Hradec,U Panelárny,882,,15.00132,49.12146
z-box-lomnice-nad-luznici-na-nabrezi-103,Z-BOX,Lomnice nad Lužnicí,Na Nábřeží,103,,14.71591,49.08634
jemnice-palackeho-829,Z-BOX,Jemnice,Palackého,829,,15.57472,49.01865
z-box-jemnice-topolova-899,Z-BOX,Jemnice,Topolová,899,,15.58063,49.02046
dacice-antoninska-85,Z-BOX,Dačice,Antonínská,85,,15.43135,49.07632
z-box-dacice-krajirova-22,Z-BOX,Dačice,Krajířova,22,,15.43831,49.08213
z-box-jindrichuv-hradec-havlickova-175,Z-BOX,Jindřichův Hradec,Havlíčkova,175,,15.00079,49.13105
z-box-jindrichuv-hradec-vetrna-48,Z-BOX,Jindřichův Hradec,Větrná,48,,14.99742,49.13277
z-box-jindrichuv-hradec-sidliste-vajgar-728,Z-BOX,Jindřichův Hradec,sídliště Vajgar,728,,15.02246,49.1378
z-box-jindrichuv-hradec-sidliste-vajgar-648,Z-BOX,Jindřichův Hradec,sídliště Vajgar,648,,15.01797,49.14001
z-box-jindrichuv-hradec-u-nemocnice-178-178-nemocnice,Z-BOX,Jindřichův Hradec,U Nemocnice,178,178,15.00536,49.13928
z-box-jindrichuv-hradec-sidl-vajgar-593,Z-BOX,Jindřichův Hradec,sídl. Vajgar,593,,15.02056,49.14151
z-box-jindrichuv-hradec-sidl-vajgar-730-pepco,Z-BOX,Jindřichův Hradec,sídl. Vajgar,730,,15.02298,49.14274
jindrichuv-hradec-otin-252-1,Z-BOX,Jindřichův Hradec,Otín,252,,15.02533,49.14311
z-box-jindrichuv-hradec-jachymova-865-3,Z-BOX,Jindřichův Hradec,Jáchymova,865,3,15.02017,49.14321
z-box-stitary-stitary-145-flop,Z-BOX,Štítary,Štítary,145,,15.8447,48.93505
z-box-sumna-sumna-45,Z-BOX,Šumná,Šumná,45,,15.87208,48.92078
z-box-satov-satov-124,Z-BOX,Šatov,Šatov,124,,16.01429,48.79239
z-box-milicovice-milicovice-81,Z-BOX,Milíčovice,Milíčovice,81,,15.9345,48.88866
z-box-masovice-masovice-64,Z-BOX,Mašovice,Mašovice,64,,15.97268,48.85792
z-box-nove-syrovice-nove-syrovice-4-u-posty,Z-BOX,Nové Syrovice,Nové Syrovice,4,,15.77347,49.01769
z-box-citonice-citonice-82,Z-BOX,Citonice,Citonice,82,,15.96673,48.88147
z-box-strmilov-namesti-60,Z-BOX,Strmilov,Náměstí,60,,15.20182,49.15849
z-box-strmilov-nova-u-detskeho-hriste,Z-BOX,Strmilov,Nová,,,15.20157,49.15979
z-box-jindrichuv-hradec-prazska-290-e-on,Z-BOX,Jindřichův Hradec,Pražská,290,,14.99671,49.15097
z-box-jindrichuv-hradec-schwaigrova-547,Z-BOX,Jindřichův Hradec,Schwaigrova,547,,15.00299,49.15187
z-box-olbramkostel-olbramkostel-140,Z-BOX,Olbramkostel,Olbramkostel,140,,15.94949,48.92178
z-box-chvalovice-chvalovice-36,Z-BOX,Chvalovice,Chvalovice,36,,16.08108,48.78534
z-box-novy-saldorf-sedlesovice-novy-saldorf-sedlesovice-170,Z-BOX,Nový Šaldorf-Sedlešovice,Nový Šaldorf-Sedlešovice,170,,16.06538,48.83127
z-box-kravsko-kravsko-200,Z-BOX,Kravsko,Kravsko,200,,15.98542,48.91689
z-box-znojmo-prazska-2643-72-billa,Z-BOX,Znojmo,Pražská,2643,72,16.03813,48.86572
z-box-znojmo-videnska-trida-3362-46,Z-BOX,Znojmo,Vídeňská třída,3362,46,16.05621,48.84685
z-box-znojmo-dukelskych-bojovniku-3638,Z-BOX,Znojmo,Dukelských bojovníků,3638,,16.06508,48.83748
z-box-znojmo-primeticka-3507,Z-BOX,Znojmo,Přímětická,3507,,16.04484,48.86211
z-box-znojmo-primeticka-1813-64,Z-BOX,Znojmo,Přímětická,1813,64,16.04469,48.86703
z-box-moravske-budejovice-okruzni-1779-aventin,Z-BOX,Moravské Budějovice,Okružní,1779,,15.80301,49.04437
z-box-znojmo-primetice-vetrna-518-2,Z-BOX,Znojmo,Přímětice,,,16.03653,48.87825
z-box-moravske-budejovice-fibichova-1272,Z-BOX,Moravské Budějovice,Fibichova,1272,,15.80059,49.04951
z-box-znojmo-mudr-jana-janskeho-2675-11-u-nemocnice,Z-BOX,Znojmo,MUDr. Jana Janského,2675,11,16.0508,48.86899
z-box-znojmo-prumyslova-2246,Z-BOX,Znojmo,Průmyslová,2246,,16.06395,48.85487
z-box-znojmo-dobsicka-3929-4-aventin,Z-BOX,Znojmo,Dobšická,3929,4,16.06934,48.85332
z-box-moravske-budejovice-manesova-1500,Z-BOX,Moravské Budějovice,Mánesova,1500,,15.81638,49.04657
z-box-moravske-budejovice-husova-397,Z-BOX,Moravské Budějovice,Husova,397,,15.81262,49.04995
