name,city,postal_code,street,building_number,orientation_number,ruian_code
České Budějovice 12,České Budějovice,37012,K. Šafáře,887,64,26020637.0
Temelín,Temelín,37301,,104,0,20021488.0
Neznašov,Všemyslice,37302,,9,0,20027893.0
Litvínovice,Litvínovice,37303,,39,0,11772883.0
Chrášťany u Týna nad Vltavou,Chrášťany,37304,,79,0,11744936.0
Temelín-elektrárna,Temelín,37305,,,0,
Srubec,Srubec,37310,Ledenická,24,0,11798718.0
Ledenice,Ledenice,37311,Náměstí,71,0,11757001.0
Borovany,Borovany,37312,Žižkovo náměstí,15,0,16486404.0
Komařice,Komařice,37314,,76,0,28130898.0
Nová Ves,Nová Ves,37315,,30,0,20002289.0
Dobrá Voda u Českých Budějovic,Dobrá Voda u Českých Budějovic,37316,Lázeňská,2321,42,27495311.0
Slavče,Slavče,37321,,26,0,17628903.0
Ločenice,Ločenice,37322,,165,0,19997949.0
Svatý Jan nad Malší,Svatý Jan nad Malší,37323,,106,0,20017863.0
Římov,Římov,37324,Náměstí J. Gurreho,164,0,17625351.0
Olešnice,Olešnice,37331,,1,0,11785187.0
Jílovice,Jílovice,37332,,138,0,19991461.0
Nové Hrady v jižních Čechách,Nové Hrady,37333,5. května,56,0,11780649.0
Horní Stropnice,Horní Stropnice,37335,,68,0,19985819.0
Rychnov u Nových Hradů,Horní Stropnice,37336,,24,0,20009828.0
Hluboká nad Vltavou,Hluboká nad Vltavou,37341,Masarykova,40,0,17594308.0
Zliv,Zliv,37344,Jiráskova,397,0,17643325.0
Pištín,Pištín,37346,,56,0,16514947.0
Sedlec,Sedlec,37347,,48,0,20012438.0
Dívčice,Dívčice,37348,,41,0,19975473.0
Mydlovary,Mydlovary,37349,,19,0,16499140.0
Olešník,Olešník,37350,,15,0,20006811.0
Dříteň,Dříteň,37351,,1,0,11729163.0
Hrdějovice,Hrdějovice,37361,Dlouhá,221,0,11739703.0
Chotýčany u Českých Budějovic,Chotýčany,37362,,21,0,17604630.0
Ševětín,Ševětín,37363,náměstí Šimona Lomnického,2,0,16520084.0
Dynín,Dynín,37364,,48,0,19980124.0
Dolní Bukovsko,Dolní Bukovsko,37365,náměstí Jiráskovo,67,0,11718846.0
Žimutice,Žimutice,37366,,44,0,17639654.0
Borek,Borek,37367,Pražská,66,0,17587824.0
Rudolfov,Rudolfov,37371,Třeboňská,14,28,11791241.0
Lišov u Českých Budějovic,Lišov,37372,Nová,888,5a,27061396.0
Štěpánovice,Štěpánovice,37373,Vlkovická,154,0,11804181.0
Kamenný Újezd,Kamenný Újezd,37381,Náměstí,42,0,11748664.0
Boršov nad Vltavou,Boršov nad Vltavou,37382,Poříčská,248,0,16497627.0
Dubné,Dubné,37384,,33,0,16500261.0
Trhové Sviny,Trhové Sviny,37401,Bezručova,1000,0,11837161.0
Včelná,Včelná,37406,Husova,212,0,11810998.0
Týn nad Vltavou 1,Týn nad Vltavou,37501,Sakařova,757,0,20045271.0
Týn nad Vltavou 3,Týn nad Vltavou,37503,Orlická,539,0,25195824.0
Jindřichův Hradec 1,Jindřichův Hradec,37701,Husova,129,0,14794268.0
Jindřichův Hradec 4,Jindřichův Hradec,37704,sídliště Vajgar,599,0,25815725.0
Jindřichův Hradec 5,Jindřichův Hradec,37705,Kosmonautů,47,0,25250396.0
Lásenice,Lásenice,37801,,11,0,14722704.0
Stráž nad Nežárkou,Stráž nad Nežárkou,37802,náměstí Emy Destinnové,55,0,2152126.0
Majdalena,Majdalena,37803,,,0,
Chlum u Třeboně,Chlum u Třeboně,37804,,12,0,2202034.0
Suchdol nad Lužnicí,Suchdol nad Lužnicí,37806,sídl. 9. května,710,0,2185148.0
Rapšach,Rapšach,37807,Londonská,320,0,17312744.0
Dvory nad Lužnicí,Dvory nad Lužnicí,37808,,63,0,2131200.0
Nová Ves nad Lužnicí,Nová Ves nad Lužnicí,37809,,87,0,14743591.0
České Velenice,České Velenice,37810,Revoluční,206,0,14685850.0
Lomnice nad Lužnicí,Lomnice nad Lužnicí,37816,náměstí 5. května,105,0,2189160.0
Novosedly nad Nežárkou,Novosedly nad Nežárkou,37817,,186,0,14748142.0
Kardašova Řečice,Kardašova Řečice,37821,Veselého,659,0,17657571.0
Deštná u Jindřichova Hradce,Deštná,37825,náměstí Míru,61,0,2198908.0
Lodhéřov,Lodhéřov,37826,,175,0,17309921.0
